position_h,position_v,velocity_h,velocity_v,action_h,action_v,value
24,8,1,0,0,0,-19.66992262722191
24,8,1,0,0,1,-15.993561390187827
24,8,1,0,1,0,-15.239807495461934
24,8,1,0,1,1,-14.628255071101199
19,9,2,0,-1,0,-18.0
19,9,2,0,-1,1,-18.85139272287041
19,9,2,0,0,0,-17.847926947295992
19,9,2,0,0,1,-20.34738043768672
19,9,2,0,1,0,-12.621773989886194
19,9,2,0,1,1,-18.645720124244445
16,9,3,0,-1,0,-18.764299531293787
16,9,3,0,-1,1,-15.826256191211982
16,9,3,0,0,0,-15.073062814021139
16,9,3,0,0,1,-12.985947320541346
16,9,3,0,1,0,-17.70730085036749
16,9,3,0,1,1,-16.87916732440282
25,4,0,0,0,1,-12.542934683804903
25,4,0,0,1,0,-10.325125239827509
25,4,0,0,1,1,-13.444588673323025
25,5,0,1,0,-1,-14.173211423044844
25,5,0,1,0,0,-13.93069300636799
25,5,0,1,0,1,-18.93519836880817
25,5,0,1,1,-1,-14.751351957057834
25,5,0,1,1,0,-10.677022293043665
25,5,0,1,1,1,-17.483789808998843
25,6,0,1,0,-1,-17.79795507663872
25,6,0,1,0,0,-19.31139667721612
25,6,0,1,0,1,-15.480540783494213
25,6,0,1,1,-1,-8.959362583649826
25,6,0,1,1,0,-18.656749317851805
25,6,0,1,1,1,-13.707495920431048
24,6,1,0,-1,0,-15.964614500390198
24,6,1,0,-1,1,-14.498599133671016
24,6,1,0,0,0,-15.733729298053653
24,6,1,0,0,1,-13.25707813032317
24,6,1,0,1,0,-7.763696288412455
24,6,1,0,1,1,-14.331371157915632
23,6,1,0,-1,0,-12.204629526268604
23,6,1,0,-1,1,-17.225787524294294
23,6,1,0,0,0,-16.17026093979981
23,6,1,0,0,1,-19.445722013396388
23,6,1,0,1,0,-16.84515310615483
23,6,1,0,1,1,-18.645831273132252
23,6,0,0,0,1,-16.50208101594339
23,6,0,0,1,0,-10.265719486703505
23,6,0,0,1,1,-16.228453495984525
23,7,0,1,0,-1,-19.445269365513028
23,7,0,1,0,0,-19.011442219369087
23,7,0,1,0,1,-16.5342568138386
23,7,0,1,1,-1,-18.753087502067704
23,7,0,1,1,0,-17.299250202594084
23,7,0,1,1,1,-18.276746830392554
24,9,1,0,-1,0,-14.792860174464128
24,9,1,0,-1,1,-17.392364808534744
24,9,1,0,0,0,-18.51530065155974
24,9,1,0,0,1,-17.115667191785214
24,9,1,0,1,0,-20.635228806987058
24,9,1,0,1,1,-17.740372524203767
24,5,1,1,-1,-1,-18.310256849558414
24,5,1,1,-1,0,-18.803587649981992
24,5,1,1,-1,1,-18.05568301561535
24,5,1,1,0,-1,-19.208827039596557
24,5,1,1,0,0,-16.970513142173
24,5,1,1,0,1,-16.026896277824534
24,5,1,1,1,-1,-11.702234764470674
24,5,1,1,1,0,-13.855573181170508
24,5,1,1,1,1,-17.459065216387256
22,6,2,1,-1,-1,-24.080246025274306
22,6,2,1,-1,0,-16.64989863716156
22,6,2,1,-1,1,-23.96709232605955
22,6,2,1,0,-1,-21.890993435287943
22,6,2,1,0,0,-20.557826114814354
22,6,2,1,0,1,-20.411514237921438
22,6,2,1,1,-1,-20.560902473574657
22,6,2,1,1,0,-7.417404451668543
22,6,2,1,1,1,-18.094272300886782
19,6,3,0,-1,0,-6.3564575593281365
19,6,3,0,-1,1,-8.057340944949528
19,6,3,0,0,0,-4.782715727134402
19,6,3,0,0,1,-7.593493565130093
19,6,3,0,1,0,-8.133770704236134
19,6,3,0,1,1,-8.424875565842221
15,6,4,0,-1,0,-6.142629117898847
15,6,4,0,-1,1,-14.940166419589586
15,6,4,0,0,0,-13.922632497487005
15,6,4,0,0,1,-12.824526085511463
15,6,4,0,1,0,-16.264028815556586
15,6,4,0,1,1,-17.393375109064166
10,7,5,1,-1,-1,-16.271918635620988
10,7,5,1,-1,0,-21.25753810497251
10,7,5,1,-1,1,-24.024092888243832
10,7,5,1,0,-1,-16.40399286527605
10,7,5,1,0,0,-17.481153787742322
10,7,5,1,0,1,-15.131186011470966
3,8,3,0,-1,0,-19.0
3,8,3,0,-1,1,-14.53863443583548
3,8,3,0,0,0,-21.0
3,8,3,0,0,1,-14.460690793570313
3,8,3,0,1,0,-17.0
3,8,3,0,1,1,-11.380354675760353
0,8,3,0,-1,0,-10.369631633207684
0,8,3,0,-1,1,-15.07868463260987
0,8,3,0,0,0,-11.39562523441007
0,8,3,0,0,1,-20.0
0,8,3,0,1,0,-18.0
0,8,3,0,1,1,-13.512045351871532
6,8,4,1,-1,-1,-22.0
6,8,4,1,-1,0,-13.98318328177982
6,8,4,1,-1,1,-19.177982405440275
6,8,4,1,0,-1,-18.036374352598276
6,8,4,1,0,0,-18.64437072800929
6,8,4,1,0,1,-11.81289423936147
6,8,4,1,1,-1,-12.898389878879595
6,8,4,1,1,0,-13.895059772302837
6,8,4,1,1,1,-19.0
2,10,4,2,-1,-1,-15.68174127841304
2,10,4,2,-1,0,-10.0
2,10,4,2,-1,1,-18.85368208024324
2,10,4,2,0,-1,-12.580121246617647
2,10,4,2,0,0,-8.817617605466191
2,10,4,2,0,1,-10.0
2,10,4,2,1,-1,-18.0
2,10,4,2,1,0,-14.0
2,10,4,2,1,1,-14.302828854249722
22,7,2,2,-1,-1,-18.81874009420462
22,7,2,2,-1,0,-11.499090688279278
22,7,2,2,-1,1,-28.0
22,7,2,2,0,-1,-28.0
22,7,2,2,0,0,-28.0
22,7,2,2,0,1,-22.389538445392066
22,7,2,2,1,-1,-19.13186256572513
22,7,2,2,1,0,-22.18952937894274
22,7,2,2,1,1,-17.096512277694174
19,9,3,2,-1,-1,-19.156974134479597
19,9,3,2,-1,0,-19.29004473613255
19,9,3,2,-1,1,-15.595343740281844
19,9,3,2,0,-1,-19.347264690280227
19,9,3,2,0,0,-18.37854711510206
19,9,3,2,0,1,-19.95663163825986
19,9,3,2,1,-1,-18.767589016335272
19,9,3,2,1,0,-18.268536546731234
19,9,3,2,1,1,-18.086502027788026
25,5,0,0,0,1,-11.608929425248574
25,5,0,0,1,0,-15.554870810148008
25,5,0,0,1,1,-9.171196123866869
24,5,1,0,-1,0,-19.977197385485677
24,5,1,0,-1,1,-20.380374663818195
24,5,1,0,0,0,-18.97978048140696
24,5,1,0,0,1,-20.063404661971923
24,5,1,0,1,0,-8.847094237209804
24,5,1,0,1,1,-15.598736423721933
23,6,1,1,-1,-1,-19.309509829366032
23,6,1,1,-1,0,-17.798034994367395
23,6,1,1,-1,1,-22.828039935850494
23,6,1,1,0,-1,-19.834311982933073
23,6,1,1,0,0,-19.823942533310312
23,6,1,1,0,1,-22.116898086192656
23,6,1,1,1,-1,-19.870949434294133
23,6,1,1,1,0,-19.59112973923163
23,6,1,1,1,1,-19.2487083551018
22,8,1,2,-1,-1,-23.0
22,8,1,2,-1,0,-20.0
22,8,1,2,-1,1,-19.603855355884175
22,8,1,2,0,-1,-26.0
22,8,1,2,0,0,-27.0
22,8,1,2,0,1,-13.063420459921605
22,8,1,2,1,-1,-20.72344247727406
22,8,1,2,1,0,-22.0
22,8,1,2,1,1,-20.477503292008876
25,7,0,1,0,-1,-17.428563631568373
25,7,0,1,0,0,-16.060979433830965
25,7,0,1,0,1,-13.645978665256026
25,7,0,1,1,-1,-16.265647128367956
25,7,0,1,1,0,-16.34111823638405
25,7,0,1,1,1,-16.32863692595755
24,4,1,0,-1,0,-10.330851075525986
24,4,1,0,-1,1,-13.204439870324617
24,4,1,0,0,0,-12.824237110675243
24,4,1,0,0,1,-9.16649118713502
24,4,1,0,1,0,-10.07774768534757
24,4,1,0,1,1,-9.569648703219944
23,4,1,0,-1,0,-12.346095129984993
23,4,1,0,-1,1,-17.52263820487878
23,4,1,0,0,0,-9.91538235046273
23,4,1,0,0,1,-14.2590500876908
23,4,1,0,1,0,-14.708727622285421
23,4,1,0,1,1,-17.332509025163322
22,4,1,0,-1,0,-8.48363457121287
22,4,1,0,-1,1,-12.377336090336868
22,4,1,0,0,0,-16.237619267120433
22,4,1,0,0,1,-8.870379081169697
22,4,1,0,1,0,-14.759883662337755
22,4,1,0,1,1,-17.628344440243485
21,5,1,1,-1,-1,-9.568919152668713
21,5,1,1,-1,0,-10.338099718351476
21,5,1,1,-1,1,-17.0551361249648
21,5,1,1,0,-1,-13.138782610883922
21,5,1,1,0,0,-9.583345353189529
21,5,1,1,0,1,-16.811391860009675
21,5,1,1,1,-1,-8.973699877104671
21,5,1,1,1,0,-6.025041486963474
21,5,1,1,1,1,-13.709258061849594
21,5,0,0,0,1,-23.19543744261452
21,5,0,0,1,0,-9.293121775439603
21,5,0,0,1,1,-11.991196457988757
20,6,1,1,-1,-1,-14.733340758061171
20,6,1,1,-1,0,-12.607341431581151
20,6,1,1,-1,1,-12.708803117715682
20,6,1,1,0,-1,-9.383456535192852
20,6,1,1,0,0,-15.887852222487172
20,6,1,1,0,1,-13.467195673531027
20,6,1,1,1,-1,-10.250230561665218
20,6,1,1,1,0,-7.658291416988323
20,6,1,1,1,1,-11.498795806360674
20,7,0,1,0,-1,-11.14999727622334
20,7,0,1,0,0,-17.0
20,7,0,1,0,1,-13.351967085332138
20,7,0,1,1,-1,-19.327086925435026
20,7,0,1,1,0,-23.0
20,7,0,1,1,1,-13.448641199527987
20,9,0,2,0,-1,-12.37967495785432
20,9,0,2,0,0,-14.765547083926245
20,9,0,2,0,1,-18.08393218574339
20,9,0,2,1,-1,-17.0
20,9,0,2,1,0,-20.155637792219487
20,9,0,2,1,1,-12.316315427833267
25,7,0,2,0,-1,-19.78426092424938
25,7,0,2,0,0,-17.19137688934379
25,7,0,2,0,1,-22.063224522796848
25,7,0,2,1,-1,-20.705763259082964
25,7,0,2,1,0,-26.449230358830306
25,7,0,2,1,1,-19.96991287908734
24,9,1,2,-1,1,-28.0
24,9,1,2,-1,-1,-21.445423713557176
24,9,1,2,-1,0,-19.825487705482693
24,9,1,2,0,-1,-23.212113256403374
24,9,1,2,0,0,-20.961628528831227
24,9,1,2,0,1,-22.85855499562292
24,9,1,2,1,-1,-22.826637820572394
24,9,1,2,1,0,-20.026200591448287
24,9,1,2,1,1,-14.366221237509338
24,7,1,0,-1,0,-18.349316448248864
24,7,1,0,-1,1,-14.169726027965702
24,7,1,0,0,0,-15.40999468825
24,7,1,0,0,1,-15.608034703224712
24,7,1,0,1,0,-17.949578283041063
24,7,1,0,1,1,-14.251654575690095
24,8,0,1,0,-1,-13.934904134575437
24,8,0,1,0,0,-13.167746687704756
24,8,0,1,0,1,-18.308245956115783
24,8,0,1,1,-1,-14.7096410125998
24,8,0,1,1,0,-14.233793979418946
24,8,0,1,1,1,-14.405727405808102
23,9,1,1,-1,-1,-17.294090323192133
23,9,1,1,-1,0,-16.120837446159786
23,9,1,1,-1,1,-15.56157503315815
23,9,1,1,0,-1,-17.386507319857927
23,9,1,1,0,0,-14.867883701650735
23,9,1,1,0,1,-15.50554256775464
23,9,1,1,1,-1,-17.302739148692698
23,9,1,1,1,0,-12.897942192894467
23,9,1,1,1,1,-14.454944096005965
24,6,0,0,0,1,-14.393605394473592
24,6,0,0,1,0,-17.196645403812028
24,6,0,0,1,1,-15.415242849169992
20,6,1,0,-1,0,-20.13721774323315
20,6,1,0,-1,1,-19.550681980914938
20,6,1,0,0,0,-18.32202545807614
20,6,1,0,0,1,-18.284324095048436
20,6,1,0,1,0,-22.7297982893303
20,6,1,0,1,1,-8.678569129184925
18,7,2,1,-1,-1,-15.306043761771718
18,7,2,1,-1,0,-12.542604013420483
18,7,2,1,-1,1,-12.588285455884233
18,7,2,1,0,-1,-7.099753257492334
18,7,2,1,0,0,-13.824293094171386
18,7,2,1,0,1,-13.235853557277704
18,7,2,1,1,-1,-5.709639943606337
18,7,2,1,1,0,-13.751024584255354
18,7,2,1,1,1,-14.404703441966968
11,9,4,1,-1,-1,-14.0
11,9,4,1,-1,0,-14.083082281192493
11,9,4,1,-1,1,-17.0
11,9,4,1,0,-1,-21.0
11,9,4,1,0,0,-14.158893238869492
11,9,4,1,0,1,-14.0
11,9,4,1,1,-1,-10.790463408308336
11,9,4,1,1,0,-13.429401228564151
11,9,4,1,1,1,-16.623002551296977
6,9,5,0,-1,0,-8.874349888552384
6,9,5,0,-1,1,-12.0
6,9,5,0,0,0,-10.301262678210938
6,9,5,0,0,1,-23.0
2,10,4,1,-1,-1,-21.0
2,10,4,1,-1,0,-9.637931820876698
2,10,4,1,-1,1,-19.0
2,10,4,1,0,-1,-10.703737940857456
2,10,4,1,0,0,-11.0
2,10,4,1,0,1,-10.035781478608737
2,10,4,1,1,-1,-21.0
2,10,4,1,1,0,-10.0
2,10,4,1,1,1,-19.143278701748137
15,8,3,1,1,0,-16.960031725796963
15,8,3,1,-1,-1,-16.211821015188075
15,8,3,1,-1,0,-19.101545154207358
15,8,3,1,-1,1,-16.981072894421906
15,8,3,1,0,-1,-16.151984486704762
15,8,3,1,0,0,-15.179830436842373
15,8,3,1,0,1,-17.340312861797198
15,8,3,1,1,-1,-18.674033730414042
15,8,3,1,1,1,-12.224678806700545
21,6,2,0,-1,0,-21.033195160767168
21,6,2,0,-1,1,-18.76617500696633
21,6,2,0,0,0,-12.126601666694624
21,6,2,0,0,1,-19.960184474748495
21,6,2,0,1,0,-21.999150701261314
21,6,2,0,1,1,-19.17319832320578
24,7,1,2,-1,-1,-22.801034449447545
24,7,1,2,-1,0,-18.66086171829326
24,7,1,2,-1,1,-12.241361714460004
24,7,1,2,0,-1,-19.471891545395234
24,7,1,2,0,0,-21.217949588966643
24,7,1,2,0,1,-23.32972721254982
24,7,1,2,1,-1,-19.628461973054748
24,7,1,2,1,0,-21.316841839860864
24,7,1,2,1,1,-19.588558300691698
24,9,1,1,-1,-1,-18.780719514493445
24,9,1,1,-1,0,-15.625623509467967
24,9,1,1,-1,1,-20.60015128434874
24,9,1,1,0,-1,-13.038694168183092
24,9,1,1,0,0,-18.116890708635655
24,9,1,1,0,1,-19.951759873768918
24,9,1,1,1,-1,-18.071209900373187
24,9,1,1,1,0,-18.50359580113473
24,9,1,1,1,1,-16.647072633402622
20,9,2,0,-1,0,-19.503639050895302
20,9,2,0,-1,1,-19.11317580951899
20,9,2,0,0,0,-19.764527396842784
20,9,2,0,0,1,-19.88767828037531
20,9,2,0,1,0,-19.40529730891146
20,9,2,0,1,1,-22.765826164860492
18,9,2,0,-1,0,-21.064736339119158
18,9,2,0,-1,1,-19.769237029426556
18,9,2,0,0,0,-11.370205147282268
18,9,2,0,0,1,-19.131165204682205
18,9,2,0,1,0,-21.330933940746178
18,9,2,0,1,1,-19.125018519492798
17,9,1,0,-1,0,-19.35915603838716
17,9,1,0,-1,1,-17.840698590090177
17,9,1,0,0,0,-19.163203597020406
17,9,1,0,0,1,-17.853419655728704
17,9,1,0,1,0,-22.0
17,9,1,0,1,1,-17.436305409786208
22,7,2,1,-1,-1,-16.67430013980027
22,7,2,1,-1,0,-18.155913193240387
22,7,2,1,-1,1,-17.074909993717494
22,7,2,1,0,-1,-17.632306246606426
22,7,2,1,0,0,-17.209609864546035
22,7,2,1,0,1,-16.593898290793472
22,7,2,1,1,-1,-8.719807966770452
22,7,2,1,1,0,-19.005121707302518
22,7,2,1,1,1,-18.24354366568772
21,7,1,0,-1,0,-17.924842473778032
21,7,1,0,-1,1,-15.26896462702914
21,7,1,0,0,0,-17.287678659771185
21,7,1,0,0,1,-16.597956767815475
21,7,1,0,1,0,-15.369313043311093
21,7,1,0,1,1,-15.841598859245346
21,8,0,1,0,-1,-18.934343001925836
21,8,0,1,0,0,-14.914429084138543
21,8,0,1,0,1,-16.41265608763304
21,8,0,1,1,-1,-13.96423245641706
21,8,0,1,1,0,-22.0
21,8,0,1,1,1,-17.92195689904428
21,8,0,0,0,1,-19.957393040438212
21,8,0,0,1,0,-17.08519162393281
21,8,0,0,1,1,-18.871843574041712
21,9,0,1,0,-1,-21.758424959473903
21,9,0,1,0,0,-23.0
21,9,0,1,0,1,-18.908352794341262
21,9,0,1,1,-1,-19.95188150863483
21,9,0,1,1,0,-14.34761177263955
21,9,0,1,1,1,-19.18442131189798
24,7,0,1,0,-1,-14.325383457501472
24,7,0,1,0,0,-18.41808966929962
24,7,0,1,0,1,-15.019659327645225
24,7,0,1,1,-1,-14.77418195739553
24,7,0,1,1,0,-14.473577655335815
24,7,0,1,1,1,-13.109167024263355
23,7,1,0,-1,0,-20.512092546708857
23,7,1,0,-1,1,-20.144354840513543
23,7,1,0,0,0,-20.651856208986526
23,7,1,0,0,1,-20.138746087199074
23,7,1,0,1,0,-19.56948048580765
23,7,1,0,1,1,-14.916947292798646
23,8,0,1,0,-1,-17.56196116862304
23,8,0,1,0,0,-26.0
23,8,0,1,0,1,-21.488834994481174
23,8,0,1,1,-1,-14.720854021633048
23,8,0,1,1,0,-18.285305612404425
23,8,0,1,1,1,-20.153670930739874
22,8,1,0,-1,0,-13.922675845007486
22,8,1,0,-1,1,-16.2826463528715
22,8,1,0,0,0,-17.873473621067998
22,8,1,0,0,1,-12.12353593001475
22,8,1,0,1,0,-12.915418986347715
22,8,1,0,1,1,-12.329145633990914
21,8,1,0,-1,0,-18.73047124974629
21,8,1,0,-1,1,-20.07589898455179
21,8,1,0,0,0,-14.545416178776671
21,8,1,0,0,1,-22.710781123670316
21,8,1,0,1,0,-21.054551404946658
21,8,1,0,1,1,-17.11888611584901
20,8,1,0,-1,0,-17.47688608027433
20,8,1,0,-1,1,-13.872334765275367
20,8,1,0,0,0,-16.367922717119946
20,8,1,0,0,1,-18.34534178291061
20,8,1,0,1,0,-17.237142477949245
20,8,1,0,1,1,-17.474091108454612
22,9,2,0,0,0,-20.26390658923112
22,9,2,0,-1,0,-20.282979196682945
22,9,2,0,-1,1,-19.735033626513072
22,9,2,0,0,1,-21.28890848940705
22,9,2,0,1,0,-17.18459241236275
22,9,2,0,1,1,-20.056077262702363
24,6,1,1,-1,-1,-15.061613434120085
24,6,1,1,-1,0,-14.354442132408463
24,6,1,1,-1,1,-13.337171484882907
24,6,1,1,0,-1,-12.96750651999374
24,6,1,1,0,0,-13.147352251823971
24,6,1,1,0,1,-13.200497538566843
24,6,1,1,1,-1,-7.673820434803801
24,6,1,1,1,0,-10.577570597151086
24,6,1,1,1,1,-16.11361728182123
20,6,2,0,-1,0,-11.203544024337788
20,6,2,0,-1,1,-14.692058378033561
20,6,2,0,0,0,-10.667657494560054
20,6,2,0,0,1,-7.571881286062145
20,6,2,0,1,0,-11.13214721189502
20,6,2,0,1,1,-10.276618481146938
17,7,3,1,-1,-1,-22.99460168534887
17,7,3,1,-1,0,-13.05323475725994
17,7,3,1,-1,1,-24.680450919144512
17,7,3,1,0,-1,-18.79029053075894
17,7,3,1,0,0,-17.012911903347472
17,7,3,1,0,1,-17.694157202271025
17,7,3,1,1,-1,-18.442397191162815
17,7,3,1,1,0,-17.86901972926007
17,7,3,1,1,1,-17.924500714724505
15,9,2,2,-1,-1,-13.157613557703847
15,9,2,2,-1,0,-11.92198214212073
15,9,2,2,-1,1,-16.44699020609018
15,9,2,2,0,-1,-11.20165556221906
15,9,2,2,0,0,-23.332977306275275
15,9,2,2,0,1,-12.176940452161197
15,9,2,2,1,-1,-11.850794151033837
15,9,2,2,1,0,-12.2662610805687
15,9,2,2,1,1,-24.414676093673105
23,7,1,1,-1,-1,-18.3926813218869
23,7,1,1,-1,0,-15.84315628247926
23,7,1,1,-1,1,-13.320044771781031
23,7,1,1,0,-1,-18.778661990186862
23,7,1,1,0,0,-15.721098630989141
23,7,1,1,0,1,-13.95134367032413
23,7,1,1,1,-1,-16.938631006912235
23,7,1,1,1,0,-11.608611645187102
23,7,1,1,1,1,-16.78240879451612
23,7,0,0,0,1,-23.461268603153876
23,7,0,0,1,0,-18.178692165909734
23,7,0,0,1,1,-20.942140515940956
22,9,2,1,-1,-1,-19.936963575327685
22,9,2,1,-1,0,-14.389410027679356
22,9,2,1,-1,1,-16.542387124216475
22,9,2,1,0,-1,-19.55167935578129
22,9,2,1,0,0,-11.446524803592114
22,9,2,1,0,1,-15.243034261401357
22,9,2,1,1,-1,-16.118751417167438
22,9,2,1,1,0,-18.262726659965235
22,9,2,1,1,1,-17.81030839127768
22,6,2,0,-1,0,-10.412421799007156
22,6,2,0,-1,1,-13.866178133463515
22,6,2,0,0,0,-8.958423877538927
22,6,2,0,0,1,-9.928905990769415
22,6,2,0,1,0,-6.3862597668143115
22,6,2,0,1,1,-9.672902725992145
24,7,0,0,0,1,-14.286881156523021
24,7,0,0,1,0,-19.961409021858984
24,7,0,0,1,1,-18.35332834596576
21,8,2,0,-1,0,-20.597585889278246
21,8,2,0,-1,1,-19.396320212509984
21,8,2,0,0,0,-20.15250658333976
21,8,2,0,0,1,-19.37925945873957
21,8,2,0,1,0,-11.47878255150476
21,8,2,0,1,1,-18.07894306916991
20,9,1,1,-1,-1,-12.728454882591953
20,9,1,1,-1,0,-17.223088663531183
20,9,1,1,-1,1,-23.0
20,9,1,1,0,-1,-19.983918415558854
20,9,1,1,0,0,-21.0
20,9,1,1,0,1,-17.98456697852949
20,9,1,1,1,-1,-26.0
20,9,1,1,1,0,-20.01998548731033
20,9,1,1,1,1,-19.779960335150992
24,5,0,0,0,1,-15.281790395983004
24,5,0,0,1,0,-17.927674137574865
24,5,0,0,1,1,-18.89668058876936
23,5,1,0,-1,0,-15.357307696274212
23,5,1,0,-1,1,-15.96800759129092
23,5,1,0,0,0,-19.19462585994249
23,5,1,0,0,1,-9.871001473985478
23,5,1,0,1,0,-11.668346687858065
23,5,1,0,1,1,-14.321637967119235
23,6,0,1,0,-1,-12.063426151614934
23,6,0,1,0,0,-17.95242300776571
23,6,0,1,0,1,-16.998252959254256
23,6,0,1,1,-1,-15.862654439879304
23,6,0,1,1,0,-17.132579467123122
23,6,0,1,1,1,-14.16844031399899
19,9,0,0,0,1,-12.968105854744914
19,9,0,0,1,0,-17.096827443386253
19,9,0,0,1,1,-18.65141872650125
19,9,3,0,-1,0,-17.8337101473682
19,9,3,0,-1,1,-17.647081399501147
19,9,3,0,0,0,-19.994132796046806
19,9,3,0,0,1,-11.98574830045685
19,9,3,0,1,0,-19.93918365577394
19,9,3,0,1,1,-20.16125321539243
25,8,0,2,0,-1,-22.170289262951464
25,8,0,2,0,0,-20.761683880586773
25,8,0,2,0,1,-23.406531914021436
25,8,0,2,1,-1,-11.922292399256872
25,8,0,2,1,0,-19.51530524525651
25,8,0,2,1,1,-15.780865458997729
18,9,1,0,0,1,-17.483984813712702
18,9,1,0,-1,0,-17.2239480422233
18,9,1,0,-1,1,-17.0
18,9,1,0,0,0,-17.152973795663836
18,9,1,0,1,0,-15.251257351528817
18,9,1,0,1,1,-22.0
19,9,1,0,-1,0,-18.29338838318881
19,9,1,0,-1,1,-20.204966983890156
19,9,1,0,0,0,-18.20479815765104
19,9,1,0,0,1,-17.133227480540533
19,9,1,0,1,0,-14.312614921360916
19,9,1,0,1,1,-18.33310516813007
20,9,2,1,-1,-1,-18.654807691689165
20,9,2,1,-1,0,-15.551275950393721
20,9,2,1,-1,1,-19.164507119218047
20,9,2,1,0,-1,-13.27021812759401
20,9,2,1,0,0,-18.65863860732035
20,9,2,1,0,1,-19.22372710689947
20,9,2,1,1,-1,-18.941796311925405
20,9,2,1,1,0,-25.628103858674915
20,9,2,1,1,1,-20.185927931109735
24,9,0,0,0,1,-15.290987671720165
24,9,0,0,1,0,-14.162050774883776
24,9,0,0,1,1,-11.721672828251897
16,6,3,0,-1,0,-5.034908689068488
16,6,3,0,-1,1,-6.365415388259257
16,6,3,0,0,0,-6.10386432252255
16,6,3,0,0,1,-4.673683919911784
16,6,3,0,1,0,-6.068498403910396
16,6,3,0,1,1,-3.615689590767369
13,7,3,1,-1,-1,-6.703599178480795
13,7,3,1,-1,0,-4.087348753337645
13,7,3,1,-1,1,-12.367311112498758
13,7,3,1,0,-1,-6.024165473571598
13,7,3,1,0,0,-3.192703191359374
13,7,3,1,0,1,-10.725757231369437
13,7,3,1,1,-1,-13.520418783613435
13,7,3,1,1,0,-3.554610874933351
13,7,3,1,1,1,-5.687928863750776
9,8,4,1,-1,-1,-14.066952006976893
9,8,4,1,-1,0,-12.52461143436285
