position_h,position_v,action_h,action_v,value
3,3,-1,1,-12.466599401018302
3,3,0,-1,-13.290909533030021
3,3,0,1,-13.981329401810655
3,3,1,-1,-13.37248423984627
3,3,1,0,-13.577083468643693
3,3,1,1,-13.80943342846978
5,1,-1,-1,-11.859221107907965
5,1,-1,0,-11.09869648756182
5,1,-1,1,-10.461526042166977
5,1,0,-1,-10.90366931941459
5,1,0,1,-10.555889764822467
5,1,1,-1,-10.675386052805502
5,1,1,1,-7.91013686387417
6,0,-1,-1,-12.0798278310343
6,0,-1,0,-11.94366416733885
6,0,-1,1,-12.502248228550396
6,0,0,-1,-12.321819841474815
6,0,0,1,-8.444091623381956
6,0,1,-1,-12.215358183775392
6,0,1,0,-11.984226169562831
6,0,1,1,-11.97504766109057
5,2,-1,-1,-11.465529023038789
5,2,-1,0,-10.121642382589839
5,2,-1,1,-9.199130988606019
5,2,0,-1,-9.492773488690265
5,2,0,1,-9.529403390474549
5,2,1,-1,-9.622696098716474
5,2,1,0,-9.510017566403432
5,2,1,1,-5.320960877606461
4,3,-1,-1,-13.067821014394
4,3,-1,0,-13.769080678834378
4,3,-1,1,-13.213004757383086
4,3,0,-1,-12.365872638478647
4,3,0,1,-12.383013582510088
4,3,1,-1,-12.102879576620161
4,3,1,0,-11.544853716249062
4,3,1,1,-5.936064314640806
1,7,-1,-1,-10.272932059715576
1,7,-1,0,-9.323143728166958
1,7,-1,1,-6.552979755679694
1,7,0,-1,-9.486010239144832
1,7,0,1,-9.344432756130388
1,7,1,-1,-11.47094299938774
1,7,1,0,-9.297495612413622
1,7,1,1,-9.21877540145391
3,8,-1,-1,-9.498145533527277
3,8,-1,0,-7.48396076599469
3,8,-1,1,-6.137831728240533
3,8,0,-1,-9.275102070840937
3,8,0,1,-5.033711899068872
3,8,1,-1,-1.0
3,8,1,0,-2.0145647565010196
3,8,1,1,-5.718424378976755
2,4,0,-1,-13.590025565153034
1,5,-1,-1,-12.763792053628823
1,5,-1,0,-11.2583358413425
1,5,-1,1,-11.536053605051128
1,5,0,-1,-11.904113969851787
1,5,0,1,-11.244144520342811
1,5,1,-1,-12.56495595721684
1,5,1,0,-11.714590606876783
1,5,1,1,-9.948115015640758
2,4,-1,-1,-13.369078456391794
2,4,-1,0,-12.607124961790232
2,4,-1,1,-12.553725900846723
2,4,0,1,-12.025711276759154
2,4,1,-1,-13.87523911613316
2,4,1,0,-12.34296452965595
2,4,1,1,-10.521315148455749
6,2,-1,-1,-10.211454658755347
6,2,-1,0,-8.249874378506966
6,2,-1,1,-9.4688366795497
6,2,0,-1,-9.083161020918883
6,2,0,1,-5.90504780192136
6,2,1,-1,-9.243590200978169
6,2,1,0,-8.333155220449953
6,2,1,1,-8.604672693624583
5,3,-1,-1,-11.632778917823536
5,3,-1,0,-13.117182860151534
5,3,-1,1,-12.783451310374923
5,3,0,-1,-10.940745320157912
5,3,0,1,-11.742834503551745
5,3,1,-1,-7.054108009928617
5,3,1,0,-12.398109751053035
5,3,1,1,-11.154816961308047
3,4,-1,-1,-13.945373883264136
3,4,-1,0,-12.730243088330083
3,4,-1,1,-12.613658027708073
3,4,0,-1,-13.331980610497823
3,4,0,1,-12.862037350676005
3,4,1,-1,-13.360044823265275
3,4,1,0,-14.065440949869679
3,4,1,1,-10.786497366771542
1,6,-1,-1,-11.612343315289722
1,6,-1,0,-12.110056228488546
1,6,-1,1,-10.109017319418225
1,6,0,-1,-11.64366406432529
1,6,0,1,-10.119013642152836
1,6,1,-1,-11.740611693565691
1,6,1,0,-11.2009526704263
1,6,1,1,-7.653982141946433
3,9,-1,-1,-5.453915268458816
3,9,-1,0,-6.47849941044116
3,9,-1,1,-6.382439578798236
3,9,0,-1,-4.184457100938868
3,9,0,1,-3.4242552339954875
3,9,1,-1,-2.0000000000000426
3,9,1,0,-3.547550175542475
3,9,1,1,-3.4700933925403006
2,7,-1,-1,-10.129956891731785
2,7,-1,0,-9.726269797228525
2,7,-1,1,-9.77358033485317
2,7,0,-1,-10.226635887612678
2,7,0,1,-7.135537088943978
2,7,1,-1,-10.460920781146434
2,7,1,0,-9.6548178655734
2,7,1,1,-9.3456378501246
6,3,-1,-1,-8.850102742972837
6,3,-1,0,-8.574145479874574
6,3,-1,1,-8.77458132440367
6,3,0,-1,-9.285846796254004
6,3,0,1,-4.183293346925185
6,3,1,-1,-8.797061089520591
6,3,1,0,-7.231878479579068
6,3,1,1,-7.590946440158818
2,5,-1,-1,-12.376453998489708
2,5,-1,0,-11.775119590558592
2,5,-1,1,-11.705234547548693
2,5,0,-1,-12.480199116073711
2,5,0,1,-9.307090159407597
2,5,1,-1,-12.642536787342797
2,5,1,0,-11.484589188446666
2,5,1,1,-11.99154051844783
4,4,-1,-1,-13.255844809255834
4,4,-1,0,-12.158945013538862
4,4,-1,1,-11.166919329185873
4,4,0,-1,-13.865351179036173
4,4,0,1,-12.169827245267374
4,4,1,-1,-8.708309502579159
4,4,1,0,-7.982074107608239
4,4,1,1,-3.544048478969087
4,8,-1,-1,-9.204453030127192
4,8,-1,0,-6.922973156099708
4,8,-1,1,-4.4943587884897145
4,8,0,-1,-1.0
4,8,0,1,-3.9739309367919837
4,8,1,-1,-2.0000000000272307
4,8,1,0,-2.1250152895324774
4,8,1,1,-3.6465718119073403
4,9,-1,-1,-3.054573969691094
4,9,-1,0,-5.291632649943757
4,9,-1,1,-5.612680127535828
4,9,0,-1,-3.0526987438218
4,9,0,1,-4.03520369606955
4,9,1,-1,-2.0000000001169007
4,9,1,0,-4.651487074635314
4,9,1,1,-3.7625503365755457
3,7,-1,-1,0.0
3,7,-1,0,0.0
3,7,-1,1,0.0
3,7,0,-1,0.0
3,7,0,1,0.0
3,7,1,-1,0.0
3,7,1,0,0.0
3,7,1,1,0.0
5,4,-1,-1,-13.89368449934752
5,4,-1,0,-13.279956226501096
5,4,-1,1,-11.145904448532384
5,4,0,-1,-8.561295957579672
5,4,0,1,-3.0001803011731654
5,4,1,-1,-10.659755838439231
5,4,1,0,-6.407330519537409
5,4,1,1,-8.54472265121132
2,6,-1,-1,-11.770085262109788
2,6,-1,0,-10.380216368015263
2,6,-1,1,-10.537046605210872
2,6,0,-1,-11.433887674875209
2,6,0,1,-7.863701794528571
2,6,1,-1,-11.219375232648582
2,6,1,0,-10.383257260327518
2,6,1,1,-10.44362103102581
3,5,-1,-1,-12.01549174323867
3,5,-1,0,-11.98684100649707
3,5,-1,1,-9.47964942685883
3,5,0,-1,-12.265955172843872
3,5,0,1,-12.099258652060676
3,5,1,-1,-12.242597426325744
3,5,1,0,-12.132760656955803
3,5,1,1,-11.83369788179548
5,8,-1,-1,-1.0
5,8,-1,0,-2.0104585585211465
5,8,-1,1,-4.613413182961283
5,8,0,-1,-2.001862310715651
5,8,0,1,-4.685609372757901
5,8,1,-1,-4.465963580241169
5,8,1,0,-2.0002304066852554
5,8,1,1,-4.795969271864041
4,7,-1,-1,-10.21211438038129
4,7,-1,0,-8.955459015121505
4,7,-1,1,-6.82579021938174
4,7,0,-1,-9.257768758397672
4,7,0,1,-6.327355979031785
4,7,1,-1,-10.104441835429723
4,7,1,0,-1.0
4,7,1,1,-1.984375
5,9,-1,-1,-5.903341138724178
5,9,-1,0,-5.0900053342452765
5,9,-1,1,-5.170883600058144
5,9,0,-1,-2.000945358395898
5,9,0,1,-4.850074790161116
5,9,1,-1,-4.006074201248551
5,9,1,0,-4.149343980581078
5,9,1,1,-4.102759401635195
4,5,-1,-1,-12.35272225156574
4,5,-1,0,-11.113213137485134
4,5,-1,1,-9.35479369996676
4,5,0,-1,-13.151042972843253
4,5,0,1,-9.930966307833007
4,5,1,-1,-10.189124308532046
4,5,1,0,-10.29381684337623
4,5,1,1,-2.0000039083752847
6,4,-1,-1,-8.075710331305537
6,4,-1,0,-7.791932558035388
6,4,-1,1,-7.060112517557973
6,4,0,-1,-9.144461631339155
6,4,0,1,-3.1931949642228954
6,4,1,-1,-9.797507681862996
6,4,1,0,-7.054945664028882
6,4,1,1,-5.8007514230654325
3,6,-1,-1,-11.837629457923578
3,6,-1,0,-10.672890147667664
3,6,-1,1,-10.132653168274878
3,6,0,-1,-11.63055286802631
3,6,0,1,-8.983640382595087
3,6,1,-1,-11.434556044434723
3,6,1,0,-10.32409702374277
3,6,1,1,-10.036826084831521
5,5,-1,-1,-13.305486119916646
5,5,-1,0,-11.685230304843888
5,5,-1,1,-10.174215348031494
5,5,0,-1,-6.8261227469206744
5,5,0,1,-5.896986567553091
5,5,1,-1,-7.900834624781161
5,5,1,0,-7.445457401136759
5,5,1,1,-4.553663110748463
4,6,-1,-1,-11.847373593099528
6,8,-1,-1,-3.7623473591002528
6,8,-1,0,-2.6835727146419606
6,8,-1,1,-3.5259149262019998
6,8,0,-1,-2.9618540686322143
6,8,0,1,-2.641479492183862
6,8,1,-1,-2.003665507220717
6,8,1,0,-3.0966431424023426
6,8,1,1,-3.3094751755688776
6,9,-1,-1,-4.42329317165588
6,9,-1,0,-4.294710498807798
6,9,-1,1,-3.6160741409735775
6,9,0,-1,-3.419736373631258
6,9,0,1,-3.7587031712751013
6,9,1,-1,-3.044041646163262
6,9,1,0,-4.101388673819878
6,9,1,1,-4.010122963610635
5,7,-1,-1,-10.490499387408684
5,7,-1,0,-8.638788577805677
5,7,-1,1,-7.2389048599736725
5,7,0,-1,-7.474697230675986
5,7,0,1,-7.25103893146937
5,7,1,-1,-8.642053961277032
5,7,1,0,-2.0050673719587726
5,7,1,1,-2.80645784627645
4,6,-1,0,-8.938888909942122
4,6,-1,1,-8.384424240411233
4,6,0,-1,-11.077705158521558
4,6,0,1,-7.9586970991999575
4,6,1,-1,-11.758864182315468
4,6,1,0,-10.82889385874589
4,6,1,1,-1.0
6,5,-1,-1,-6.830822638039289
6,5,-1,0,-7.017785687650207
6,5,-1,1,-2.0285704942096268
6,5,0,-1,-6.480510478363916
6,5,0,1,-6.8276587804062965
6,5,1,-1,-8.139342375278444
6,5,1,0,-5.1574235751482265
6,5,1,1,-6.688201406985577
6,6,-1,-1,-11.467395780142766
6,6,-1,0,-10.37305508720363
6,6,-1,1,-1.0
6,6,0,-1,-7.397880803603853
6,6,0,1,-2.0012785139186886
6,6,1,-1,-6.953178218298842
6,6,1,0,-3.290215479377882
6,6,1,1,-3.0658146112026516
5,6,-1,-1,-11.358022179994858
5,6,-1,0,-9.721483894233995
5,6,-1,1,-9.17143352019734
5,6,0,-1,-11.506881523745033
5,6,0,1,-1.0
5,6,1,-1,-3.0779352008397987
5,6,1,0,-2.0000012642223375
5,6,1,1,-2.5508431662884723
6,7,-1,-1,-3.8111007582905856
6,7,-1,0,-1.0
6,7,-1,1,-1.9296875
6,7,0,-1,-1.96875
6,7,0,1,-1.75
6,7,1,-1,-1.0
6,7,1,0,-1.234375
6,7,1,1,-2.0031957626342773
